epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,471.279,0.94978,2.25671,1.762,1.29785,0,0.36015,0.27972,0.22219,0.13558,0.2468,0.1657,0.09213,0.03416,1.40022,6.4107,2.63361,1.68826,0,0.000332991,0.000332991,0.0670339
2,877.319,0.99688,2.24844,1.70389,1.34023,0,0.4246,0.3929,0.35877,0.23929,0.4301,0.36745,0.33648,0.20682,1.13906,2.79615,1.88953,1.45395,0,0.000659727,0.000659727,0.0340273
3,1278.95,0.96876,2.19504,1.64008,1.32584,0,0.44768,0.40684,0.37405,0.26097,0.43937,0.39488,0.35466,0.24317,1.10137,2.42659,1.91027,1.43236,0,0.000979864,0.000979864,0.00101412
4,1678.6,0.9198,2.0763,1.56073,1.28893,0,0.47664,0.41698,0.4046,0.29208,0.46412,0.40787,0.3837,0.27303,1.00989,2.19552,1.85171,1.35971,0,0.0009703,0.0009703,0.0009703
5,2080.43,0.87945,1.9889,1.49105,1.25984,0,0.50891,0.45917,0.4589,0.33781,0.50543,0.45494,0.44728,0.32092,0.94711,2.05973,1.63641,1.32011,0,0.0009604,0.0009604,0.0009604
6,2481.82,0.85703,1.9377,1.44555,1.24095,0,0.51403,0.45313,0.46181,0.34619,0.51241,0.44569,0.44917,0.32571,0.91267,2.0091,1.57162,1.27636,0,0.0009505,0.0009505,0.0009505
7,2880.86,0.8336,1.87491,1.40129,1.22633,0,0.54583,0.47871,0.49456,0.37502,0.53964,0.4645,0.47618,0.34678,0.88721,2.03048,1.50756,1.2556,0,0.0009406,0.0009406,0.0009406
8,3281.24,0.8144,1.83137,1.3689,1.20843,0,0.56142,0.48079,0.50388,0.38526,0.55705,0.47106,0.4864,0.35998,0.86649,1.93972,1.49592,1.24892,0,0.0009307,0.0009307,0.0009307
9,3680.05,0.80525,1.80707,1.34836,1.20564,0,0.55953,0.49376,0.51547,0.39644,0.55526,0.48694,0.50265,0.37139,0.84524,1.87527,1.46975,1.22041,0,0.0009208,0.0009208,0.0009208
10,4079.26,0.78919,1.77674,1.31888,1.19248,0,0.59043,0.50876,0.55027,0.42614,0.5879,0.50074,0.53784,0.40068,0.82765,1.82577,1.35792,1.20249,0,0.0009109,0.0009109,0.0009109
